signal,SampleEndYear,n_in,n_out,ret_in,ret_out,sharpe_in,sharpe_out,t_in,t_out,ret_decay
DelEqu,2001,474,276,0.07165242750164952,0.03869257511003031,0.4424523327758155,0.25204947829479557,2.998702592498361,1.0815052674549968,-0.03295985239161921
DelFINL,2001,594,276,0.029166183275060827,-0.006353285690224272,0.33618509612368835,-0.07615479900578122,2.2400375921877664,-0.33701701125768185,-0.0355194689652851
DelLTI,2001,594,276,0.01574207282906639,0.0284427406914027,0.19488538585622142,0.3042338039616412,1.2033262078844402,1.6158335978959726,0.012700667862336309
DelNetFin,2001,594,276,0.037193686475267246,-0.00047674560210580184,0.3827884265964424,-0.005001587286390393,2.7778980292737887,-0.022316007281832837,-0.03767043207737305
DolVol,1995,837,348,0.002657740986301895,-0.02590355401272144,0.015529100662719932,-0.17999031775351088,0.1594094188256888,-0.872347884916038,-0.028561294999023337
EBM,2001,474,276,0.035650589939980236,0.007789544085528834,0.4744919702797789,0.06911781293917503,3.071794715954098,0.3494774635328302,-0.027861045854451403
EP,1971,252,636,0.045978246224521915,0.04022902914438959,0.3891944272613101,0.26934498437498644,1.5591657604513454,1.8031431123429194,-0.005749217080132325
EarnSupBig,2001,463,276,0.04090645753946479,0.004803518132917533,0.2910629156207072,0.0343802193061648,1.760514501365301,0.180949577614185,-0.03610293940654726
EarningsConsistency,2002,594,264,0.00709152901322602,0.027965795177621905,0.04727268873985657,0.1764642683325086,0.31197135593608843,0.7200430777204292,0.020874266164395885
EarningsForecastDisparity,2006,300,216,0.03808823543631612,0.14312809754023748,0.2287565133582989,0.8211071913979806,1.0193277785327155,3.3703900870862755,0.10503986210392136
EarningsStreak,2009,302,180,0.0894969001733168,0.06894203488108787,0.6386169426706614,0.648435620123211,2.8671507179699383,2.2674335945993938,-0.020554865292228927
EarningsSurprise,1981,223,516,0.08176417083065898,-0.006561125174163591,0.8429176605707686,-0.07604663750595056,3.4344104838366265,-0.5198512394709445,-0.08832529600482257
EntMult,2009,702,180,0.06735680081712737,-0.05597446934441069,0.43132932411780145,-0.28519496754828066,2.8786885034938163,-1.0244598260520017,-0.12333127016153807
EquityDuration,1998,426,312,0.10555986172253662,0.08807111510455716,0.6896633852478312,0.4775065928663852,3.8168781327524575,2.4163804435351035,-0.01748874661797946
ExclExp,1999,188,300,-0.025537482128934693,-0.0015319256047809037,-0.23286732014564437,-0.018994559766601235,-0.9738357625191005,-0.0807225268999325,0.02400555652415379
FEPS,2002,323,264,0.08257077419635105,0.07890006552810172,0.3913519819216871,0.43673766676692294,1.7064217530013746,1.8692496262601301,-0.0036707086682493256
FirmAgeMom,2001,888,276,0.1924509436408599,0.17051123667848628,0.6929524828530589,0.5826881647653077,6.004391233244937,2.918777774130311,-0.02193970696237363
ForecastDispersion,2000,299,288,0.057375863861610796,0.04278138293384489,0.32479758371938505,0.2038285091729963,1.4038288045491458,0.8842879547594057,-0.014594480927765906
Frontier,2003,486,252,0.053097259311547934,-0.0028678107813561384,0.22332203455523034,-0.01323552262394949,1.446291587591998,-0.04971212503449855,-0.05596507009290407
GP,2010,714,168,0.06389828835828668,0.08118005940893072,0.40196107896239425,0.41830669364840795,2.949537854956123,1.9590609931515484,0.017281771050644046
GrAdExp,2010,546,168,0.04083672990348189,-0.015362435625293804,0.1993129416709966,-0.11677661371492333,1.1767036643235647,-0.4720074250566881,-0.05619916552877569
